S No ,Medicine name,Salt Code,Salt name,Product ID,Product ID to be shown as Alternative,Note if same,Image link,Brand,MRP,Selling price,Discount,MRP of cheapest ,Savings ,Cheapest,Buy now button URL,Prescription required,Top Selling,Category,Sub Category,Packaging,Description,Storage,Side Effects,Precautions,Brand Code,Manufacturer address,Marketed by,Intro,Uses,Directions,Conten 4,Conten 5,Conten 6
132885,Glucobay M 50/500 MG Tablet 10,31,ACARBOSE (50 MG) + METFORMIN (500 MG),A132885,A125697,,https://url.mcro.site/cache/plugins/filepreviewer/13317/48d24f9d9533b9254a1c00395392d2f739431ddd33f3d8fb9302cc089aff7a51/280x280_middle.jpg,Bayer Zydus Pharma Private Limited,173,138.4,20%,87.8,49%,No,Hi. Look Glucobay M 50/500 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,257,,Bayer Zydus Pharma Private Limited,,,,d,e,f
100484,Acb Syrup 100 ML,32,ACEBROPHYLLINE (10 MG),A100484,A100484,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/6442/b1de7e4812c8919c65666512e621cf187ef16e3425e245194c446c8e30c0b75f/280x280_middle.jpg,Chemo Health Care Pvt Ltd,140,70,50%,70,50%,Yes,Hi. Look Acb Syrup 100 ML is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,377,,Chemo Health Care Pvt Ltd,,,,d,e,f
104436,Altophylline 10 MG Syrup 100 ML,32,ACEBROPHYLLINE (10 MG),A104436,A100484,,,Rekin Pharma Pvt. Ltd.,120,96,20%,70,42%,No,Hi. Look Altophylline 10 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,17,"WZ-32,33, Main Road, Sadh Nagar, Palam Colony, New Delhi-1145",Rekin Pharma Pvt. Ltd.,,,,d,e,f
100173,Ab Phylline Syrup 100 ML,32,ACEBROPHYLLINE (10 MG),A100173,A100484,,,Sun Pharma Laboratories Ltd.,178,142.4,20%,70,61%,No,Hi. Look Ab Phylline Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1136,"SUN HOUSE CTS No. 21, 21, Western Express Hwy, Ram Nagar, Goregaon, Mumbai, Maharashtra 463",Sun Pharma Laboratories Ltd.,,,,d,e,f
100771,Acelin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100771,A100771,This is already the recommended alternative,,Oscar Remedies Pvt. Ltd,40,32,20%,32,20%,Yes,Hi. Look Acelin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,917,,Oscar Remedies Pvt. Ltd,,,,d,e,f
113994,Broncocet Acb 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A113994,A100771,,,Seagull Labs(i) Ltd,46.66,37.33,20%,32,31%,No,Hi. Look Broncocet Acb 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,171,,Seagull Labs(i) Ltd,,,,d,e,f
107699,Asmaace 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A107699,A100771,,,Alchemist Life Science Ltd,47.12,37.7,20%,32,32%,No,Hi. Look Asmaace 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,85,,Alchemist Life Science Ltd,,,,d,e,f
128482,Erophylline 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A128482,A100771,,,Micro Labs Ltd,55.5,44.4,20%,32,42%,No,Hi. Look Erophylline 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,83,,Micro Labs Ltd,,,,d,e,f
101025,Acevel 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A101025,A100771,,,Avis Life Care Pvt Ltd,57,45.6,20%,32,44%,No,Hi. Look Acevel 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,23,"117-A,PADMAWATI COLONY-I, KINGS ROAD JAIPUR RJ 3219 IN",Avis Life Care Pvt Ltd,,,,d,e,f
100598,Acebrovel 100 MG Tablet 10,33,ACEBROPHYLLINE (100 MG),A100598,A100771,,,Eris Lifesciences Ltd,58,46.4,20%,32,45%,No,Hi. Look Acebrovel 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Acebrovel 1 MG Tablet 1 Works
 
Acebrovel 1mg Tablet is a bronchodilator and mucolytic. It works by relaxing airway muscles and thinning and loosening mucus, making breathing easier.",,"Side effects of Acebrovel 1 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to Acebrovel 1mg Tablet. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Acebrovel 1mg Tablet
Nausea,
Headache,
Vomiting,
Upset stomach,
Restlessness",,51,"Shivarth Ambit, Plot No. 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Ahmedabad, Gujarat - 3854",Eris Lifesciences Ltd,"About Acebrovel 1 MG Tablet 1
 
Acebrovel 1mg Tablet is used to treat and prevent asthma and chronic obstructive pulmonary disease symptoms (a lung disorder in which flow of air to the lung is blocked). It works by relaxing the muscles in the air passageways, expanding them and making breathing easier.
Acebrovel 1mg Tablet should be consumed after food. To receive the best benefit, take it at the same time every day. What you take it for determines the dose and frequency with which you take it. Your doctor will determine how much improvement you require. You should take this medicine for the entire time that it has been recommended for you. Do not miss a single dose; if you do, take it as soon as you remember or, better yet, ignore the missing dose and continue with your usual dosing schedule. It does not function instantly or prevent previously existing breathing problems, so keep your medical inhaler on hand in case of an emergency.","Uses of Acebrovel 1 MG Tablet 1
 
Acebrovel 1mg Tablet is used in treatment of Asthma 
Chronic obstructive pulmonary disease (COPD)","Directions to use Acebrovel 1 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of Acebrovel 1mg Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Acebrovel 1mg Tablet should be consumed after food.",d,e,f
114002,Broncofil 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A114002,A100771,,https://url.mcro.site/cache/plugins/filepreviewer/8971/d72d6583b5ddc4ca14c877b1fb64066b2a492ba2a228a398741da65d6ed88dcc/280x280_middle.jpg,Leeford Healthcare,95,47.4,50%,32,66%,No,Hi. Look Broncofil 100 MG Capsule 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,725,"Leo House, Shaheed Bhagat Singh Nagar, Dugri Dhandra Road, Near Joseph School Ludhiana PB 1412 IN",Leeford Healthcare,,,,d,e,f
164129,Venphylin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A164129,A100771,,https://url.mcro.site/cache/plugins/filepreviewer/26391/9276ec7b8a63a97d2e4f239aaa435a2be3085b5a30065019c41b57c03e175533/280x280_middle.jpg,Leeford Healthcare,95,47.4,50%,32,66%,No,Hi. Look Venphylin 100 MG Capsule 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Venphylin 1 MG Capsule 1 Works
 
Venphylin 1 Capsule is a bronchodilator and mucolytic. It works by relaxing airway muscles and thinning and loosening mucus, making breathing easier.",,"Side effects of Venphylin 1 MG Capsule 1
 
The majority of side effects are minor and will go away as your body adjusts to Venphylin 1 Capsule. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Venphylin Capsule
Nausea,
Headache,
Vomiting,
Upset stomach,
Restlessness",,725,"Leo House, Shaheed Bhagat Singh Nagar, Dugri Dhandra Road, Near Joseph School Ludhiana PB 1412 IN",Leeford Healthcare,"About Venphylin 1 MG Capsule 1
 
Venphylin 1 Capsule is used to treat and prevent asthma and chronic obstructive pulmonary disease symptoms (a lung disorder in which flow of air to the lung is blocked). It works by relaxing the muscles in the air passageways, expanding them and making breathing easier.
Venphylin 1 Capsule can be taken with food. To receive the best benefit, take it at the same time every day. What you take it for determines the dose and frequency with which you take it. Your doctor will determine how much improvement you require. You should take this medicine for the entire time that it has been recommended for you. Do not miss a single dose; if you do, take it as soon as you remember or, better yet, ignore the missing dose and continue with your usual dosing schedule. It does not function instantly or prevent previously existing breathing problems, so keep your medical inhaler on hand in case of an emergency.","Uses of Venphylin 1 MG Capsule 1
 
Venphylin Capsule is used in Treatment of Asthma
Chronic obstructive pulmonary disease (COPD)","Directions to use Venphylin 1 MG Capsule 1
 
Follow your doctor's instructions on the dosage and duration of this medicine. Venphylin 1 Capsule should be consumed after food.",d,e,f
113995,Broncocet Acb Syrup 100 ML,33,ACEBROPHYLLINE (100 MG),A113995,A100771,,,Seagull Labs(i) Ltd,59.52,47.62,20%,32,46%,No,Hi. Look Broncocet Acb Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,171,,Seagull Labs(i) Ltd,,,,d,e,f
113645,Breostar 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A113645,A100771,,,Minova Life Sciences Pvt Ltd,60,48,20%,32,47%,No,Hi. Look Breostar 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,832,"Minova Life Sciences Pvt Ltd., No. 4, Sujay House, Uttaradimutt Road, Shankarpuram, Bangalore-564",Minova Life Sciences Pvt Ltd,,,,d,e,f
100592,Acebrogen 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100592,A100771,,,Estragen Pharma,60.71,48.57,20%,32,47%,No,Hi. Look Acebrogen 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,516,,Estragen Pharma,,,,d,e,f
102666,Afasma 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A102666,A100771,,,Tas Med (india) Private Ltd.��,64,51.2,20%,32,50%,No,Hi. Look Afasma 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1172,,Tas Med (india) Private Ltd.��,,,,d,e,f
100590,Acebrofon 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100590,A100771,,https://url.mcro.site/cache/plugins/filepreviewer/6471/5977d83574a33e514cf5597c35e7f4b007cb0a02e60febdc3719000c4e2a5f03/280x280_middle.jpg,Knoll Healthcare Pvt. Ltd.,111,55.4,50%,32,71%,No,Hi. Look Acebrofon 100 MG Capsule 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,73,,Knoll Healthcare Pvt. Ltd.,,,,d,e,f
135206,Ijeska 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A135206,A100771,,,Cadomed Pharmaceuticals India Pvt.ltd,69.9,55.92,20%,32,54%,No,Hi. Look Ijeska 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,344,"No.18, Ground Floor, 1st Cross, Bogadi Main Rd, Gangothri Layout, Mysuru, Karnataka 579",Cadomed Pharmaceuticals India Pvt.ltd,,,,d,e,f
112021,Bestofyline A 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A112021,A100771,,,Bestochem Formulations (i) Ltd,69.96,55.97,20%,32,54%,No,Hi. Look Bestofyline A 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,268,"E 358 Ground Floor, 2, Sahid Nagar, Sahibabad Industrial Area Site 4, Greater Kailash, New Delhi, Delhi 1148",Bestochem Formulations (i) Ltd,,,,d,e,f
100397,Abroxy 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100397,A100771,,,Welgenic Pharma,70,56,20%,32,54%,No,Hi. Look Abroxy 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1264,,Welgenic Pharma,,,,d,e,f
154097,Resebron 100 MG Tablet 10,33,ACEBROPHYLLINE (100 MG),A154097,A100771,,,Invision Medi Sciences,70,56,20%,32,54%,No,Hi. Look Resebron 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,66,"3rd Floor, No. 194/31/2/74-75, Begur Sub Zone, Behind Metro Wholesale, Beretena Agrahara, Bengaluru Bangalore - 561 Karnataka - India",Invision Medi Sciences,,,,d,e,f
100739,Acegrow 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100739,A100771,,,Forgen Healthcare Ltd.,71.42,57.14,20%,32,55%,No,Hi. Look Acegrow 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,542,,Forgen Healthcare Ltd.,,,,d,e,f
157540,Somaphylline 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A157540,A100771,,,Somatico Pharmaceuticals Ltd,71.5,57.2,20%,32,55%,No,Hi. Look Somaphylline 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Somaphylline 1 MG Capsule 1 Works
 
Somaphylline Capsule is a bronchodilator and mucolytic. It works by relaxing airway muscles and thinning and loosening mucus, making breathing easier.",,"Side effects of Somaphylline 1 MG Capsule 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse Effects of Somaphylline Capsule 
Nausea, 
Headache, 
Vomiting, 
Upset stomach, 
Restlessness",,111,"C-469, TTC, Turbhe MIDC, Pawne, Navi Mumbai, Maharashtra 475",Somatico Pharmaceuticals Ltd,"About Somaphylline 1 MG Capsule 1
 
Somaphylline Capsule is used to treat and prevent asthma and COPD symptoms (a lung disorder in which flow of air to the lung is blocked). It works by relaxing the muscles in the air passageways, expanding them and making breathing easier.
Somaphylline Capsule can be taken with food. To receive the best benefit, take it at the same time every day. What you take it for determines the dose and frequency with which you take it. Your doctor will determine how much improvement you require. You should take this medicine for the entire time that it has been recommended for you. Do not miss a single dose; if you do, take it as soon as you remember or, better yet, ignore the missing dose and continue with your usual dosing schedule. It does not function instantly or prevent previously existing breathing problems, so keep your medical inhaler on hand in case of an emergency.","Uses of Somaphylline 1 MG Capsule 1
 
Somaphylline Capsule is used in the treatment of Somaphylline
Nausea
Headache
Vomiting
Upset stomach
Restlessness","Directions to use Somaphylline 1 MG Capsule 1
 
Follow your doctor's instructions on the dosage and duration of  Somaphylline Capsule. It is recommended that you take Somaphylline Capsule with food.",d,e,f
116310,Cebofyl 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A116310,A100771,,,Modi Mundi Pharma Pvt Ltd,71.93,57.54,20%,32,56%,No,Hi. Look Cebofyl 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,838,,Modi Mundi Pharma Pvt Ltd,,,,d,e,f
100597,Acebrotic 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100597,A100771,,,Biotic Healthcare,74,59.2,20%,32,57%,No,Hi. Look Acebrotic 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,36,,Biotic Healthcare,,,,d,e,f
113927,Brofil 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A113927,A100771,,,Jv Healthcare,74,59.2,20%,32,57%,No,Hi. Look Brofil 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,68,"SCF 516,1st Floor Near Petrol Pump Motor Market, Manimajra Chnadigarh",Jv Healthcare,,,,d,e,f
100389,Abrophin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100389,A100771,,,Axis Life Science Pvt Ltd,75,60,20%,32,57%,No,Hi. Look Abrophin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,237,"371, green city, near krishna shalby hospital, ghuma, ahmedabad, gujarat 3858",Axis Life Science Pvt Ltd,,,,d,e,f
100394,Abrowel 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100394,A100771,,,Fitwel Pharmaceuticals Private Limited,75,60,20%,32,57%,No,Hi. Look Abrowel 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,541,"M.I. Estate G.D. ambekar Marg, Wadala, MumbaI , Maharashtra, India",Fitwel Pharmaceuticals Private Limited,,,,d,e,f
100399,Abroz 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100399,A100771,,,Axis Life Science Pvt Ltd,75,60,20%,32,57%,No,Hi. Look Abroz 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,237,,Axis Life Science Pvt Ltd,,,,d,e,f
101720,Acphyllin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A101720,A100771,,,Ethics Health Care Pvt Ltd,75,60,20%,32,57%,No,Hi. Look Acphyllin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,519,JORIAN SARKANCHEEKA ROAD PATIALA PUNJAB PB  IN,Ethics Health Care Pvt Ltd,,,,d,e,f
102557,Aedilin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A102557,A100771,,,Aadi Health Care,75,60,20%,32,57%,No,Hi. Look Aedilin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,3,,Aadi Health Care,,,,d,e,f
102650,Aexo 100 MG Tablet 10,33,ACEBROPHYLLINE (100 MG),A102650,A100771,,,Pharm Biotech,75,60,20%,32,57%,No,Hi. Look Aexo 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,946,,Pharm Biotech,,,,d,e,f
111958,Berolin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A111958,A100771,,,Albia Biocare,75,60,20%,32,57%,No,Hi. Look Berolin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,83,"plot no. 323, industrial area phase ii, panchkula, haryana 134113",Albia Biocare,,,,d,e,f
114031,Brophenz 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A114031,A100771,,,Medfence Labs,75,60,20%,32,57%,No,Hi. Look Brophenz 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,786,,Medfence Labs,,,,d,e,f
122106,Conifyllin A 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A122106,A100771,,,Coniak Lifesciences,75,60,20%,32,57%,No,Hi. Look Conifyllin A 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,44,,Coniak Lifesciences,,,,d,e,f
100481,Acaster 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100481,A100771,,,Aamorb Pharmaceuticals Pvt Ltd,75.5,60.4,20%,32,58%,No,Hi. Look Acaster 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,6,"ug-47-48, bansi plaza, 581/5, mahatma gandhi rd, near indraprastha tower, new palasia, indore, madhya pradesh 4521",Aamorb Pharmaceuticals Pvt Ltd,,,,d,e,f
103206,Albro 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A103206,A100771,,,Allenge India,76,60.8,20%,32,58%,No,Hi. Look Albro 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,13,"Plot No. 249, Daksh House, Industrial Area Phase -II, Panchkula, Haryana 13419",Allenge India,,,,d,e,f
100388,Abromat 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100388,A100771,,,Matins Pharma,77,61.6,20%,32,58%,No,Hi. Look Abromat 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,771,,Matins Pharma,,,,d,e,f
100915,Acephil 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100915,A100771,,,Ultratech Pharmaceuticals,78,62.4,20%,32,59%,No,Hi. Look Acephil 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,121,,Ultratech Pharmaceuticals,,,,d,e,f
114033,Brophy 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A114033,A100771,,,Altar Healthcare Pvt Ltd,78,62.4,20%,32,59%,No,Hi. Look Brophy 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,121,,Altar Healthcare Pvt Ltd,,,,d,e,f
150599,Phylin A 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A150599,A100771,,,Obsurge Biotech Ltd,78.65,62.92,20%,32,59%,No,Hi. Look Phylin A 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Phylin A 1 MG Capsule 1 Works
 
Phylin A Capsule is a bronchodilator and mucolytic. It works by relaxing airway muscles and thinning and loosening mucus, making breathing easier.",,"Side effects of Phylin A 1 MG Capsule 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse Effects of Phylin A Capsule 
Nausea, 
Headache, 
Vomiting, 
Upset stomach, 
Restlessness",,894,"11-12, Aditya Tower, District Centre, Laxmi Nagar, New Delhi, Delhi 1192",Obsurge Biotech Ltd,"About Phylin A 1 MG Capsule 1
 
Phylin A 1mg Capsule is used to treat and prevent asthma and COPD symptoms (a lung disorder in which flow of air to the lung is blocked). It works by relaxing the muscles in the air passageways, expanding them and making breathing easier.
Phylin A 1mg Capsule can be taken with food. To receive the best benefit, take it at the same time every day. What you take it for determines the dose and frequency with which you take it. Your doctor will determine how much improvement you require. You should take this medicine for the entire time that it has been recommended for you. Do not miss a single dose; if you do, take it as soon as you remember or, better yet, ignore the missing dose and continue with your usual dosing schedule. It does not function instantly or prevent previously existing breathing problems, so keep your medical inhaler on hand in case of an emergency.","Uses of Phylin A 1 MG Capsule 1
 
Phylin A Capsule is used in the treatment of Asthma 
Chronic obstructive pulmonary disease (COPD)","Directions to use Phylin A 1 MG Capsule 1
 
Follow your doctor's instructions on the dosage and duration of Phylin A Capsule . Phylin A 1mg Capsule should be consumed with food.",d,e,f
100594,Acebronil 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100594,A100771,,,Nilrise Pharmaceuticals Pvt Ltd,80,64,20%,32,60%,No,Hi. Look Acebronil 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,873,,Nilrise Pharmaceuticals Pvt Ltd,,,,d,e,f
107896,Asthin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A107896,A100771,,,Reltic Labs,80,64,20%,32,60%,No,Hi. Look Asthin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,111,"SCO 4, 1st Floor, Sector 11, Panchkula, Haryana",Reltic Labs,,,,d,e,f
113877,Bro Mex 100 MG Tablet 10,33,ACEBROPHYLLINE (100 MG),A113877,A100771,,,Comex Pharma,80,64,20%,32,60%,No,Hi. Look Bro Mex 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,4,,Comex Pharma,,,,d,e,f
100486,Acbram 100 MG Tablet 10,33,ACEBROPHYLLINE (100 MG),A100486,A100771,,,Ampira Biotechnics Pvt Ltd,81,64.8,20%,32,60%,No,Hi. Look Acbram 100 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,133,"SECOND FLOOR, SCF NO. 111, MOTOR MARKET, MANIMAJRA CHANDIGARH - 1611, INDIA",Ampira Biotechnics Pvt Ltd,,,,d,e,f
100169,Ab Pas 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100169,A100771,,,Astraea Life Sciences Pvt.ltd,82,65.6,20%,32,61%,No,Hi. Look Ab Pas 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,199,,Astraea Life Sciences Pvt.ltd,,,,d,e,f
100387,Abromac 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100387,A100771,,,Pride Healthcare,82.4,65.92,20%,32,61%,No,Hi. Look Abromac 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,969,,Pride Healthcare,,,,d,e,f
113899,Brobeat 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A113899,A100771,,,Maksun Biotech Pvt Ltd,82.45,65.96,20%,32,61%,No,Hi. Look Brobeat 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,76,"FIRST FLOOR,NANHERA ROAD, KULDEEP NAGAR,AMBALA CANTT 1334 (HARYANA). INDIA",Maksun Biotech Pvt Ltd,,,,d,e,f
100483,Acb 100 MG Tablet 10,33,ACEBROPHYLLINE (100 MG),A100483,A100771,,https://url.mcro.site/cache/plugins/filepreviewer/6441/d3819945b382fe2e2bcd94785011ce6b3380c7f498e93c08d219fe82d2c6e102/280x280_middle.jpg,Chemo Health Care Pvt Ltd,135,67.4,50%,32,76%,No,Hi. Look Acb 100 MG Tablet 10 is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,377,,Chemo Health Care Pvt Ltd,,,,d,e,f
116311,Cebolin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A116311,A100771,,,Biobrick Pharma,84.5,67.6,20%,32,62%,No,Hi. Look Cebolin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,279,,Biobrick Pharma,,,,d,e,f
107846,Asthace Sr 100 MG Tablet Sr 10,33,ACEBROPHYLLINE (100 MG),A107846,A100771,,,Ordain Healthcare Pvt. Ltd,84.7,67.76,20%,32,62%,No,Hi. Look Asthace Sr 100 MG Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,91,"Phoenix Paragon Plaza, Unit no. 4B-11-15, 4th Floor Phoenix Marketcity, Lal Bahadur Shastri Rd, Kamani, Kurla (W, Mumbai, Maharashtra 47",Ordain Healthcare Pvt. Ltd,,,,d,e,f
127462,Elu Bm 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A127462,A100771,,,Corona,84.7,67.76,20%,32,62%,No,Hi. Look Elu Bm 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,48,,Corona,,,,d,e,f
100361,Abp 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A100361,A100771,,,Medishri Healthcare,85,68,20%,32,62%,No,Hi. Look Abp 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,81,"C-66, First Floor, Chander Nagar,Janakpuri, Delhi - 11 58",Medishri Healthcare,,,,d,e,f
101281,Aciphylin 100 MG Capsule 10,33,ACEBROPHYLLINE (100 MG),A101281,A100771,,,Plena Remedies,85,68,20%,32,62%,No,Hi. Look Aciphylin 100 MG Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,959,"XR2M+PV9, Bhatolikalan, Baddi, Himachal Pradesh 17325",Plena Remedies,,,,d,e,f
